	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	condition
N1N2_SNV317	174.755730125167	-7.69032889297353	1.02989636620645	-7.46709003479673	8.19876733373989e-14	1.88571648676018e-12	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV3167	5.67130226041416	-5.94948559900205	1.43185648182435	-4.15508514611863	3.25166428744469e-05	0.00018697069652807	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV828	15.2666262988048	7.31429474685189	2.37061095561346	3.08540493729352	0.00203275192914741	0.00564018255392848	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV698	33.3130873211741	-8.49285319381024	1.79464226664586	-4.73233766508974	2.21948792355698e-06	1.70160740806035e-05	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV1808	8.17375864672103	-6.47410780290018	2.00654428456349	-3.22649634633336	0.00125315831917666	0.00375947495752999	Eukaryota	Stramenopiles	new_euk_B	NA	NA	NA	NA	non-overwintering
N1N2_SNV134	123.129968687831	-10.3751380927297	1.29159042378042	-8.03283912740867	9.52425180141911e-16	3.28586687148959e-14	Eukaryota	Stramenopiles	Bacillariophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA	non-overwintering
N1N2_SNV511	52.2639753665603	-6.7882338275529	1.62896506792436	-4.16720650504957	3.08355138419043e-05	0.000185013083051426	Eukaryota	Stramenopiles	Bacillariophyceae	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	overwintering
N1N2_SNV1201	26.7186869424749	-8.17172614756947	1.57228287533064	-5.19736383050729	2.02134504502944e-07	2.28397214261348e-06	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV966	38.9423932011249	-8.70939355451859	1.81329696969794	-4.80307070494329	1.56250679230487e-06	1.34766210836295e-05	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV25	30.1240432816828	-8.35125803160527	1.07731873989116	-7.7518915455318	9.0533700128557e-15	2.49873012354817e-13	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	NA	overwintering
N1N2_SNV1569	20.0212020501767	-7.75615662322961	2.18335596394397	-3.55240132681758	0.000381732158787003	0.0014237577814218	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV1150	34.7058448713728	-8.54821296851824	1.96284801021246	-4.35500503556207	1.33063859232983e-05	8.74419646388177e-05	Eukaryota	Stramenopiles	Bolidophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV535	118.06283444003	-10.3154448993119	1.09609060198887	-9.4111242999387	4.90857916807523e-21	6.77383925194382e-19	Eukaryota	Stramenopiles	Bolidophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV2326	6.69602667535642	-6.18709555204657	1.76554512169391	-3.50435425072032	0.000457716039938675	0.00154060520759847	Eukaryota	Stramenopiles	Bolidophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV1627	13.5449848259489	-7.199826495043	1.49347858695142	-4.82084347104013	1.42952495542526e-06	1.31516295899124e-05	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV3060	4.92228219340624	-5.74317496767596	1.4413913593403	-3.98446607193795	6.76320186960307e-05	0.000341962288831321	Eukaryota	Stramenopiles	Bolidophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV740	42.9616299467775	-5.4498578511513	1.84079802558732	-2.96059522848112	0.00307045182527026	0.0078467102201351	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV1315	33.8364131916263	-3.54520168215986	1.16894835337689	-3.0328129313142	0.00242285743981629	0.006429890897974	Eukaryota	Stramenopiles	Dictyochophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV2928	7.79940595687911	-6.39054871611573	2.08315607669718	-3.0677243954989	0.00215695449278452	0.00583646509812282	Eukaryota	Stramenopiles	Dictyochophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV1168	58.3793405218485	-3.66032609021486	0.996083442796714	-3.67471833477899	0.000238111950655699	0.000912762477513513	Eukaryota	Stramenopiles	Dictyochophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV1521	12.7225152012634	-23.0002786154641	2.558762668525	-8.98882842804746	2.49879764068032e-19	1.72417037206942e-17	Eukaryota	Stramenopiles	Dictyochophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV571	98.7125174594101	-4.17893030756826	1.13552693110866	-3.68016838093676	0.000233079995142378	0.000912762477513513	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	NA	overwintering
N1N2_SNV3019	24.2700682968671	-8.02486983928677	2.27200663315533	-3.53206268070703	0.000412331607253619	0.00149741478423683	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2	non-overwintering
N1N2_SNV243	337.178806910742	-3.41947584288195	0.790823899060579	-4.32394095189074	1.53266335296065e-05	9.61397921402587e-05	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2	overwintering
N1N2_SNV16	58.5791720948745	-8.13439066313017	1.598826954307	-5.08772424759123	3.62385766000247e-07	3.57208826485957e-06	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	NA	overwintering
N1N2_SNV34	8.31669832784739	-6.49242926374778	2.25639717373988	-2.8773432883657	0.00401039050371512	0.0097093664826787	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2	overwintering
