Sample	depth	cruise	FileName	CAST	yyyy-mm-ddThh	Longitude[degrees_east]	Latitude[degrees_north]	t090C[degC]	t190C[degC]	sal11[PSU]	Prochlorococcus	Synechococcus	Picoeukaryotes	Nanoeukaryotes	CHLA
N1S1_5m	5	Subtropical-Winter	N1AllChl1.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	13.7127	13.7151	35.6115	0.00E+00	7.68E+06	4.77E+06	4.17E+05	0.2332
N1S1_25m	25	Subtropical-Winter	N1AllChl2.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	13.6984	13.7002	35.6092	NA	NA	NA	NA	NA
N1S1_50m	50	Subtropical-Winter	N1AllChl3.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	13.672	13.6876	35.6048	NA	NA	NA	NA	0.2241
N1S1_75m	75	Subtropical-Winter	N1AllChl4.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	13.7317	13.7323	35.6164	NA	NA	NA	NA	0.2378
N1S1_100m	100	Subtropical-Winter	N1AllChl5.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	13.7377	13.7383	35.617	NA	NA	NA	NA	0.2286
N1S1_150m	150	Subtropical-Winter	N1AllChl6.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	13.5574	13.5287	35.7166	NA	NA	NA	NA	0.0046
N1S1_200m	200	Subtropical-Winter	N1AllChl7.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	12.6698	12.6471	35.5956	NA	NA	NA	NA	0.0032
N1S1_300m	300	Subtropical-Winter	N1AllChl8.fasta	AT32003	2015-11-12T12:17	-43.616743	51.033578	10.2873	10.2979	35.2183	NA	NA	NA	NA	NA
N1S2_5m	5	Subpolar-Winter	N1AllChl9.fasta	AT32006	2015-11-14T11:29	-40.166934	54.100109	5.5471	5.5478	34.6459	0.00E+00	6.95E+06	6.34E+06	4.64E+05	0.3064
N1S2_25m	25	Subpolar-Winter	N1AllChl10.fasta	AT32006	2015-11-14T11:29	-40.166934	54.100109	5.5263	5.5268	34.6544	NA	NA	NA	NA	0.3635
N1S2_50m	50	Subpolar-Winter	N1AllChl11.fasta	AT32006	2015-11-14T11:29	-40.166934	54.100109	5.541	5.5415	34.6589	NA	NA	NA	NA	0.3361
N1S2_75m	75	Subpolar-Winter	N1AllChl12.fasta	AT32006	2015-11-14T11:29	-40.166934	54.100109	5.5434	5.5453	34.66	NA	NA	NA	NA	0.4413
N1S2_100m	100	Subpolar-Winter	N1AllChl13.fasta	AT32006	2015-11-14T11:29	-40.166934	54.100109	5.5682	5.5709	34.6822	NA	NA	NA	NA	0.2858
N1S2_150m	150	Subpolar-Winter	N1AllChl14.fasta	AT32006	2015-11-14T11:29	-40.166934	54.100109	4.2032	4.2014	34.8107	NA	NA	NA	NA	0.0007
N1S3_5m	5	Subpolar-Winter	N1AllChl17.fasta	AT32011	2015-11-16T11:35	-40.100221	51.116825	7.2572	7.2579	34.1995	0.00E+00	1.41E+07	7.84E+06	7.02E+05	1.0357
N1S3_25m	25	Subpolar-Winter	N1AllChl18.fasta	AT32011	2015-11-16T11:35	-40.100221	51.116825	7.2559	7.2539	34.2019	NA	NA	NA	NA	0.9511
N1S3_50m	50	Subpolar-Winter	N1AllChl19.fasta	AT32011	2015-11-16T11:35	-40.100221	51.116825	7.1772	7.177	34.2061	NA	NA	NA	NA	0.8917
N1S3_75m	75	Subpolar-Winter	N1AllChl20.fasta	AT32011	2015-11-16T11:35	-40.100221	51.116825	6.9572	6.9552	34.4753	NA	NA	NA	NA	0.0803
N1S3_100m	100	Subpolar-Winter	N1AllChl21.fasta	AT32011	2015-11-16T11:35	-40.100221	51.116825	6.8478	6.857	34.6282	NA	NA	NA	NA	0.0338
N1S3_150m	150	Subpolar-Winter	N1AllChl22.fasta	AT32011	2015-11-16T11:35	-40.100221	51.116825	6.1546	6.1288	34.7392	NA	NA	NA	NA	0.003
N1S3_200m	200	Subpolar-Winter	N1AllChl23.fasta	AT32011	2015-11-16T11:35	-40.100221	51.116825	5.3037	5.3038	34.7461	NA	NA	NA	NA	0.0043
N1S4_5m	5	Subtropical-Winter	N1AllChl25.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	15.4952	15.496	35.9066	1.02E+07	6.92E+06	4.64E+06	3.51E+05	0.2606
N1S4_25m	25	Subtropical-Winter	N1AllChl26.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	15.5501	15.5517	35.9162	NA	NA	NA	NA	0.2789
N1S4_50m	50	Subtropical-Winter	N1AllChl27.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	15.5256	15.5263	35.9112	NA	NA	NA	NA	0.2675
N1S4_75m	75	Subtropical-Winter	N1AllChl28.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	15.5256	15.527	35.9105	NA	NA	NA	NA	0.2629
N1S4_100m	100	Subtropical-Winter	N1AllChl29.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	15.5142	15.5151	35.9087	NA	NA	NA	NA	0.2858
N1S4_150m	150	Subtropical-Winter	N1AllChl30.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	15.7984	15.7979	36.1295	NA	NA	NA	NA	0.0034
N1S4_200m	200	Subtropical-Winter	N1AllChl31.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	15.2522	15.2451	36.0242	NA	NA	NA	NA	0.0021
N1S4_300m	300	Subtropical-Winter	N1AllChl32.fasta	AT32013	2015-11-18T11:30	-37.866751	46.200072	14.0344	14.0333	35.8042	NA	NA	NA	NA	NA
N1S5_5m	5	Subtropical-Winter	N1AllChl33.fasta	AT32015	2015-11-20T09:07	-37.514456	43.83517	16.2749	16.2754	35.8746	2.05E+07	7.12E+06	6.76E+06	5.27E+05	0.2995
N1S5_25m	25	Subtropical-Winter	N1AllChl34.fasta	AT32015	2015-11-20T09:07	-37.514456	43.83517	16.2884	16.2907	35.8778	NA	NA	NA	NA	0.3087
N1S5_50m	50	Subtropical-Winter	N1AllChl35.fasta	AT32015	2015-11-20T09:07	-37.514456	43.83517	16.3132	16.313	35.8831	NA	NA	NA	NA	0.2835
N1S5_75m	75	Subtropical-Winter	N1AllChl36.fasta	AT32015	2015-11-20T09:07	-37.514456	43.83517	16.5068	16.5062	35.968	NA	NA	NA	NA	0.1486
N1S5_100m	100	Subtropical-Winter	N1AllChl37.fasta	AT32015	2015-11-20T09:07	-37.514456	43.83517	15.5357	15.537	36.0023	NA	NA	NA	NA	0.0309
N1S5_150m	150	Subtropical-Winter	N1AllChl38.fasta	AT32015	2015-11-20T09:07	-37.514456	43.83517	14.9457	14.9459	35.9459	NA	NA	NA	NA	0.0027
N1S5_300m	300	Subtropical-Winter	N1AllChl40.fasta	AT32015	2015-11-20T09:07	-37.514456	43.83517	13.5971	13.5967	35.7494	NA	NA	NA	NA	NA
N1S6_5m	5	Subtropical-Winter	N1AllChl41.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	17.2237	17.2246	35.7619	1.48E+07	9.93E+06	7.97E+06	5.69E+05	0.4161
N1S6_25m	25	Subtropical-Winter	N1AllChl42.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	17.2199	17.2212	35.7467	NA	NA	NA	NA	0.3978
N1S6_50m	50	Subtropical-Winter	N1AllChl43.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	17.3022	17.3031	35.985	NA	NA	NA	NA	0.2058
N1S6_75m	75	Subtropical-Winter	N1AllChl44.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	17.3295	17.3331	36.0276	NA	NA	NA	NA	0.2355
N1S6_100m	100	Subtropical-Winter	N1AllChl45.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	18.115	18.1167	36.4031	NA	NA	NA	NA	0.0352
N1S6_150m	150	Subtropical-Winter	N1AllChl46.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	17.6625	17.6629	36.4287	NA	NA	NA	NA	0.0032
N1S6_200m	200	Subtropical-Winter	N1AllChl47.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	16.6989	16.696	36.2601	NA	NA	NA	NA	0.0053
N1S6_300m	300	Subtropical-Winter	N1AllChl48.fasta	AT32023	2015-11-22T11:33	-40.150198	43.233339	15.2781	15.2793	36.03	NA	NA	NA	NA	NA
N1S7_5m	5	Subtropical-Winter	N1AllChl49.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.6183	18.6178	36.1501	5.16E+07	1.28E+07	1.61E+07	1.18E+06	0.3109
N1S7_25m	25	Subtropical-Winter	N1AllChl50.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.3788	18.3768	36.1365	NA	NA	NA	NA	0.2515
N1S7_50m	50	Subtropical-Winter	N1AllChl51.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.3489	18.3488	36.1507	NA	NA	NA	NA	0.1989
N1S7_75m	75	Subtropical-Winter	N1AllChl52.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.3166	18.3161	36.1575	NA	NA	NA	NA	0.1646
