	NAAMES1-1_S1	NAAMES2-41_S1	NAAMES1-2_S2	NAAMES2-42_S2	NAAMES1-3_S3	NAAMES2-43_S3	NAAMES1-4_S4	NAAMES2-44_S4	NAAMES1-5_S5	NAAMES2-45_S5	NAAMES1-6_S6	NAAMES2-46_S6	NAAMES1-7_S7	NAAMES2-47_S7	NAAMES1-8_S8	NAAMES2-49_S8	NAAMES1-9_S9	NAAMES2-50_S9	NAAMES1-10_S10	NAAMES2-51_S10	NAAMES1-11_S11	NAAMES2-52_S11	NAAMES1-12_S12	NAAMES2-53_S12	NAAMES1-13_S13	NAAMES2-54_S13	NAAMES1-14_S14	NAAMES2-55_S14	NAAMES1-17_S15	NAAMES2-56_S15	NAAMES1-18_S16	NAAMES2-57_S16	NAAMES1-19_S17	NAAMES2-58_S17	NAAMES1-20_S18	NAAMES2-59_S18	NAAMES1-21_S19	NAAMES2-61_S19	NAAMES1-22_S20	NAAMES2-63_S20	NAAMES1-23_S21	NAAMES2-1_S21	NAAMES1-25_S22	NAAMES2-2_S22	NAAMES1-26_S23	NAAMES2-5_S23	NAAMES1-27_S24	NAAMES2-9_S24	NAAMES1-28_S25	NAAMES2-17_S25	NAAMES1-29_S26	NAAMES2-18_S26	NAAMES1-30_S27	NAAMES2-21_S27	NAAMES1-31_S28	NAAMES2-24_S28	NAAMES1-32_S29	NAAMES2-27_S29	NAAMES1-33_S30	NAAMES2-28_S30	NAAMES1-34_S31	NAAMES2-33_S31	NAAMES1-35_S32	NAAMES2-34_S32	NAAMES1-36_S33	NAAMES2-35_S33	NAAMES1-37_S34	NAAMES2-37_S34	NAAMES1-38_S35	NAAMES2-38_S35	NAAMES1-40_S36	NAAMES2-39_S36	NAAMES1-41_S37	NAAMES2-4_S37	NAAMES1-42_S38	NAAMES2-7_S38	NAAMES1-43_S39	NAAMES2-10_S39	NAAMES1-44_S40	NAAMES2-11_S40	NAAMES1-45_S41	NAAMES2-13_S41	NAAMES1-46_S42	NAAMES2-14_S42	NAAMES1-47_S43	NAAMES2-15_S43	NAAMES1-48_S44	NAAMES2-19_S44	NAAMES1-49_S45	NAAMES2-20_S45	NAAMES1-50_S46	NAAMES2-22_S46	NAAMES1-51_S47	NAAMES2-23_S47	NAAMES1-52_S48	NAAMES2-25_S48	NAAMES1-53_S49	NAAMES2-26_S49	NAAMES1-54_S50	NAAMES2-29_S50	NAAMES1-55_S51	NAAMES2-30_S51	NAAMES1-56_S52	NAAMES2-31_S52	NAAMES2-32_S53	NAAMES2-36_S54	NAAMES2-40_S55	NAAMES2-48_S56	NAAMES2-60_S57	NAAMES2-62_S58	NAAMES2-64_S59
N1N2_SNV4	395	21522	245	34348	413	17527	237	14161	353	11420	0	5071	0	8523	0	49429	6	38218	0	15171	0	5701	0	9803	0	9390	0	4041	45	31	0	5853	24	2758	19	303	0	115	0	64	0	0	268	0	206	4	149	881	309	87	89	823	0	393	0	10	0	16999	94	4129	57	10593	114	10522	28	12015	0	4138	0	6603	0	4256	206	3	575	10	584	627	426	147	13	21	0	9	0	11	0	455	7	0	0	16	0	14	0	3740	35	5067	0	4889	0	6330	0	1880	0	3936	7	0	0	4	16
N1N2_SNV9	5670	4517	4360	6272	6664	2600	3410	2275	5567	1719	8	687	33	1020	16	10182	871	4753	411	2288	217	964	207	1090	16	1251	0	350	1139	0	301	4366	552	2109	1783	269	11	119	13	121	8	3193	3603	3846	1891	780	1879	9150	3431	118	1214	2391	30	469	0	0	0	3766	3064	1219	1557	2818	2940	2452	1589	2536	145	698	0	1026	0	670	1056	2419	2752	184	2634	5775	3288	3553	409	1349	4	1919	11	978	0	1433	394	0	359	0	141	0	125	914	126	1120	0	1139	0	1734	0	558	0	820	0	0	28	0	0
N1N2_SNV10	94	7993	61	12744	80	6600	47	5373	75	4387	0	1953	0	3280	0	18706	0	14230	0	5785	0	2136	0	3547	0	3563	0	1377	0	0	0	2201	0	938	0	154	0	51	0	0	0	0	40	0	0	0	0	336	0	0	0	351	0	133	0	0	0	6346	41	1611	0	3924	38	3875	0	4336	0	1517	0	2299	0	1558	73	0	236	0	235	306	128	33	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	1378	0	1791	0	1814	0	2385	0	777	0	1507	0	0	17	0	0
N1N2_SNV16	509	6940	397	10876	660	4751	230	3466	566	3205	0	1246	0	1959	0	12235	0	8551	0	4191	0	1509	0	2553	0	2303	0	662	6	19	0	552	0	254	0	78	0	81	0	47	0	0	141	0	82	0	55	696	109	23	31	496	0	203	0	4	0	5094	39	1228	19	3877	52	3519	18	3608	0	1178	0	1842	0	1375	169	0	381	0	339	567	361	189	23	34	0	22	0	22	0	247	0	0	0	0	0	0	0	1070	0	1470	0	1265	0	2377	0	676	0	1227	0	0	0	0	0
N1N2_SNV22	5022	276	7562	884	4245	611	3306	464	3514	563	0	224	33	520	34	849	278	1393	398	988	430	379	865	551	317	411	142	326	3067	0	3141	9370	2760	6461	214	662	13	295	23	21	15	0	1622	0	622	0	697	0	1788	75	498	113	19	58	0	6	0	501	564	136	360	210	468	302	278	531	129	218	0	325	0	209	2304	0	2471	0	2170	0	1256	0	176	0	0	0	16	0	0	40	234	0	86	0	0	0	0	130	0	169	0	251	0	183	0	88	0	107	0	0	22	0	20
N1N2_SNV25	14	3897	0	6610	0	4192	0	3118	0	3057	0	986	0	1989	0	3472	0	3886	0	3183	0	1862	0	1262	0	1170	0	579	0	33	0	55	0	24	0	57	0	25	0	11	7	13	0	66	0	0	0	533	0	26	0	120	0	22	0	19	0	6131	0	1321	0	2951	0	5608	0	7917	0	1704	0	1822	0	1242	24	17	26	0	0	316	0	40	0	13	0	60	0	30	0	44	0	0	0	17	0	0	0	1318	0	1843	0	1609	0	1114	0	373	6	1480	31	0	0	0	19
N1N2_SNV29	158	2653	121	3524	187	2801	87	2706	122	2501	0	1074	0	2201	8	2739	80	3587	31	3531	9	1514	20	1580	10	1194	0	849	14	0	9	922	11	594	13	175	0	84	6	22	0	0	83	0	34	0	54	209	145	64	32	110	0	41	0	6	0	5998	124	936	75	1552	120	3174	51	6762	0	2127	0	2079	0	1567	106	0	201	0	118	136	85	20	19	0	0	7	0	14	0	53	126	0	80	22	34	0	39	1766	27	1807	0	2973	0	1201	0	472	0	1095	0	0	13	0	30
N1N2_SNV34	258	3940	188	5729	227	2426	118	2012	333	1698	0	603	0	1234	0	7891	0	5050	0	2140	0	818	0	1294	0	1302	0	455	0	0	0	1620	0	766	0	89	0	87	0	0	0	0	378	0	268	0	233	88	416	0	148	110	0	31	0	0	0	2332	248	668	154	1850	256	1870	114	2065	23	581	0	941	0	676	126	0	369	0	389	61	392	0	111	0	0	0	0	0	0	65	233	0	52	0	0	0	0	620	31	729	0	779	0	1007	0	298	0	699	0	0	0	0	0
N1N2_SNV42	1634	0	1848	0	1454	0	1041	0	1172	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1915	0	823	0	978	0	2147	0	522	0	8	0	0	0	0	0	3733	0	2496	0	3520	0	2628	0	1011	0	0	0	0	0	1200	0	2277	0	1599	0	1599	0	489	0	0	0	0	0	0	0	6250	0	5595	0	3362	0	3562	0	1585	0	0	0	24	0	0	0	0	0	0	0	0	0	0
N1N2_SNV55	0	2531	16	3719	19	1593	0	1403	0	1235	0	522	0	873	0	3518	0	2219	0	1509	0	669	0	1042	0	969	0	228	0	0	0	59	0	53	0	19	0	10	0	0	0	0	27	0	11	0	0	0	36	0	0	0	0	0	0	0	0	1856	109	517	38	1556	68	1403	37	1399	0	463	0	849	0	522	724	0	1611	0	1250	0	837	0	18	0	0	0	0	0	0	0	341	0	56	0	31	0	105	385	17	607	3	577	0	881	0	294	0	571	0	0	0	0	0
