	Domain	Phylum 	Class	Order	Family	Genus	Species
N1N2_SNV4	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI
N1N2_SNV9	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C
N1N2_SNV10	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI
N1N2_SNV16	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	
N1N2_SNV22	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIV
N1N2_SNV25	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	
N1N2_SNV29	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae		
N1N2_SNV34	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2
N1N2_SNV42	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI
N1N2_SNV55	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	
N1N2_SNV62	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV71	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV74	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV75	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynI
N1N2_SNV78	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV121	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV127	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProLLI
N1N2_SNV128	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	
N1N2_SNV134	Eukaryota	Stramenopiles	Bacillariophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
N1N2_SNV141	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	
N1N2_SNV159	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	
N1N2_SNV164	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV181	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI
N1N2_SNV182	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIV
N1N2_SNV185	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	
N1N2_SNV189	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV192	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI
N1N2_SNV193	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV194	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	antarctica
N1N2_SNV195	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV198	Eukaryota	Stramenopiles	Bacillariophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
N1N2_SNV200	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C
N1N2_SNV236	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV243	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2
N1N2_SNV247	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV277	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV298	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV309	Eukaryota	Stramenopiles	Bolidophyceae	Parmales	Triparmaceae	Triparma	
N1N2_SNV311	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynII
N1N2_SNV317	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV325	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV357	Eukaryota	Chlorophyta	2ndaryPlastid				
N1N2_SNV366	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV456	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	
N1N2_SNV467	Eukaryota	Stramenopiles	Bacillariophyceae	Anaulales	Anaulaceae	Eunotogramma	
N1N2_SNV470	Eukaryota	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
N1N2_SNV511	Eukaryota	Stramenopiles	Bacillariophyceae	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira
N1N2_SNV519	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV535	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV545	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV571	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV577	Eukaryota	Haptophyta					
N1N2_SNV623	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	A.anophagefferens
N1N2_SNV624	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	
N1N2_SNV662	Eukaryota	Chlorophyta	PrasinophyceaeVIII				
N1N2_SNV693	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	
N1N2_SNV698	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV708	Eukaryota	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
N1N2_SNV739	Eukaryota	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Emiliania	
N1N2_SNV740	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV769	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV770	Eukaryota	Haptophyta					
N1N2_SNV821	Eukaryota	Haptophyta					
N1N2_SNV828	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV836	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV850	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV853	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV921	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynII
N1N2_SNV925	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	
N1N2_SNV948	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV959	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV962	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV966	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV968	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV973	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV988	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV1016	Eukaryota	new_euk_C					
N1N2_SNV1027	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1087	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV1088	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV1091	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC
N1N2_SNV1104	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV1123	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV1150	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV1161	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1168	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV1201	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1224	Eukaryota	Haptophyta					
N1N2_SNV1230	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV1237	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1297	Eukaryota	Haptophyta					
N1N2_SNV1315	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV1323	Eukaryota	Haptophyta					
N1N2_SNV1330	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV1353	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1363	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV1370	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIII
N1N2_SNV1377	Eukaryota	Stramenopiles	Bacillariophyceae	Corethrales	Corethraceae	Corethron	
N1N2_SNV1404	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1412	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynXVI
N1N2_SNV1422	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV1433	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV1435	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV1471	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynEPC2
N1N2_SNV1475	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV1478	Eukaryota	Haptophyta					
N1N2_SNV1486	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV1506	Eukaryota	Haptophyta					
N1N2_SNV1521	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV1530	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1569	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1573	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV1616	Eukaryota	Haptophyta					
N1N2_SNV1617	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV1627	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1632	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV1652	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1675	Eukaryota	Haptophyta					
N1N2_SNV1685	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV1689	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV1700	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV1764	Eukaryota	Haptophyta					
N1N2_SNV1771	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV1784	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1808	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV1825	Eukaryota	Haptophyta					
N1N2_SNV1836	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1858	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV1911	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV1913	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV1914	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV1921	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV1927	Eukaryota	Haptophyta					
N1N2_SNV1934	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV1940	Eukaryota	Rhodophyta					
N1N2_SNV1957	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV1976	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV1991	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV1999	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV2001	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV2005	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV2024	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2037	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV2051	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynWPC1
N1N2_SNV2076	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2080	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV2099	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV2128	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2140	Eukaryota	Haptophyta	Rappemonad				
