	Mock	Taxa
N1N2_SNV4	Organism	OstreococcusI
N1N2_SNV9	Organism	Micromonas
N1N2_SNV10	Organism	OstreococcusI
N1N2_SNV16	Organism	Micromonas
N1N2_SNV22	Organism	SynechococcusIV
N1N2_SNV25	Organism	Diatoms
N1N2_SNV29	Organism	Diatoms
N1N2_SNV34	Organism	Micromonas
N1N2_SNV42	Organism	ProchlorococcusHLI
N1N2_SNV55	Organism	Micromonas
N1N2_SNV62	Organism	Bathycoccus
N1N2_SNV71	Organism	OstreococcusII
N1N2_SNV74	Organism	Pelagophyceae
N1N2_SNV75	Organism	SynechococcusI
N1N2_SNV78	Organism	Bathycoccus
N1N2_SNV121	Organism	OstreococcusII
N1N2_SNV127	Organism	ProchlorococcusLLI
N1N2_SNV128	Organism	Cryptophyceae
N1N2_SNV134	Organism	Diatoms
N1N2_SNV141	Organism	Cryptophyceae
N1N2_SNV159	Organism	Prymnesiophyceae
N1N2_SNV164	Organism	Diatoms
N1N2_SNV181	Organism	OstreococcusI
N1N2_SNV182	Organism	SynechococcusIV
N1N2_SNV185	Organism	Cryptophyceae
N1N2_SNV189	Organism	Bathycoccus
N1N2_SNV192	Organism	OstreococcusI
N1N2_SNV193	Organism	Rappemonad
N1N2_SNV194	Organism	Prymnesiophyceae
N1N2_SNV195	Organism	Rappemonad
N1N2_SNV198	Organism	Diatoms
N1N2_SNV200	Organism	Micromonas
N1N2_SNV236	Organism	Diatoms
N1N2_SNV243	Organism	Micromonas
N1N2_SNV247	Organism	Bathycoccus
N1N2_SNV277	Organism	ProchlorococcusHLII
N1N2_SNV298	Organism	Pelagophyceae
N1N2_SNV309	Organism	Bolidophyceae
N1N2_SNV311	Organism	SynechococcusII
N1N2_SNV317	Organism	Diatoms
N1N2_SNV325	Organism	ProchlorococcusHLII
N1N2_SNV357	Organism	ASV357
N1N2_SNV366	Organism	Dictyochophyceae
N1N2_SNV456	Organism	Micromonas
N1N2_SNV467	Organism	Diatoms
N1N2_SNV470	Organism	Prymnesiophyceae
N1N2_SNV511	Organism	Diatoms
N1N2_SNV519	Organism	Other plastid
N1N2_SNV535	Organism	Bolidophyceae
N1N2_SNV545	Organism	Pelagophyceae
N1N2_SNV571	Organism	Pelagophyceae
N1N2_SNV577	Organism	Prymnesiophyceae
N1N2_SNV623	Organism	Pelagophyceae
N1N2_SNV624	Organism	Micromonas
N1N2_SNV662	Organism	Other plastid
N1N2_SNV693	Organism	Diatoms
N1N2_SNV698	Organism	Diatoms
N1N2_SNV708	Organism	Prymnesiophyceae
N1N2_SNV739	Organism	Prymnesiophyceae
N1N2_SNV740	Organism	Diatoms
N1N2_SNV769	Organism	Pelagophyceae
N1N2_SNV770	Organism	Prymnesiophyceae
N1N2_SNV821	Organism	Prymnesiophyceae
N1N2_SNV828	Organism	Diatoms
N1N2_SNV836	Organism	Diatoms
N1N2_SNV850	Organism	Pelagophyceae
N1N2_SNV853	Organism	Diatoms
N1N2_SNV921	Organism	SynechococcusII
N1N2_SNV925	Organism	Micromonas
N1N2_SNV948	Organism	Other plastid
N1N2_SNV959	Organism	Dictyochophyceae
N1N2_SNV962	Organism	Bathycoccus
N1N2_SNV966	Organism	Diatoms
N1N2_SNV968	Organism	Diatoms
N1N2_SNV973	Organism	Other plastid
N1N2_SNV988	Organism	Cryptophyceae
N1N2_SNV1016	Organism	Other plastid
N1N2_SNV1027	Organism	Diatoms
N1N2_SNV1087	Organism	Cryptophyceae
N1N2_SNV1088	Organism	Other plastid
N1N2_SNV1091	Organism	Micromonas
N1N2_SNV1104	Organism	Pelagophyceae
N1N2_SNV1123	Organism	Pelagophyceae
N1N2_SNV1150	Organism	Bolidophyceae
N1N2_SNV1161	Organism	Diatoms
N1N2_SNV1168	Organism	Dictyochophyceae
N1N2_SNV1201	Organism	Diatoms
N1N2_SNV1224	Organism	Prymnesiophyceae
N1N2_SNV1230	Organism	Other plastid
N1N2_SNV1237	Organism	Diatoms
N1N2_SNV1297	Organism	Prymnesiophyceae
N1N2_SNV1315	Organism	Dictyochophyceae
N1N2_SNV1323	Organism	Prymnesiophyceae
N1N2_SNV1330	Organism	OstreococcusII
N1N2_SNV1353	Organism	Diatoms
N1N2_SNV1363	Organism	Bathycoccus
N1N2_SNV1370	Organism	Other Cyanobacteria
N1N2_SNV1377	Organism	Diatoms
N1N2_SNV1404	Organism	Diatoms
N1N2_SNV1412	Organism	Other Cyanobacteria
N1N2_SNV1422	Organism	Bathycoccus
N1N2_SNV1433	Organism	Cryptophyceae
N1N2_SNV1435	Organism	Bathycoccus
N1N2_SNV1471	Organism	Other Cyanobacteria
N1N2_SNV1475	Organism	OstreococcusII
N1N2_SNV1478	Organism	Prymnesiophyceae
N1N2_SNV1486	Organism	OstreococcusII
N1N2_SNV1506	Organism	Prymnesiophyceae
N1N2_SNV1521	Organism	Dictyochophyceae
N1N2_SNV1530	Organism	Diatoms
N1N2_SNV1569	Organism	Diatoms
N1N2_SNV1573	Organism	Cryptophyceae
N1N2_SNV1616	Organism	Prymnesiophyceae
N1N2_SNV1617	Organism	OstreococcusII
N1N2_SNV1627	Organism	Diatoms
N1N2_SNV1632	Organism	Cryptophyceae
N1N2_SNV1652	Organism	Diatoms
N1N2_SNV1675	Organism	Prymnesiophyceae
N1N2_SNV1685	Organism	Other plastid
N1N2_SNV1689	Organism	Pelagophyceae
N1N2_SNV1700	Organism	Chrysophyceae
N1N2_SNV1764	Organism	Prymnesiophyceae
N1N2_SNV1771	Organism	Other plastid
N1N2_SNV1784	Organism	Diatoms
N1N2_SNV1808	Organism	Other plastid
N1N2_SNV1825	Organism	Prymnesiophyceae
N1N2_SNV1836	Organism	Diatoms
N1N2_SNV1858	Organism	Diatoms
N1N2_SNV1911	Organism	Bathycoccus
N1N2_SNV1913	Organism	Other plastid
N1N2_SNV1914	Organism	Dictyochophyceae
N1N2_SNV1921	Organism	Pelagophyceae
N1N2_SNV1927	Organism	Prymnesiophyceae
N1N2_SNV1934	Organism	Cryptophyceae
N1N2_SNV1940	Organism	Other plastid
N1N2_SNV1957	Organism	Pelagophyceae
N1N2_SNV1976	Organism	Cryptophyceae
N1N2_SNV1991	Organism	Dictyochophyceae
N1N2_SNV1999	Organism	Other plastid
N1N2_SNV2001	Organism	Cryptophyceae
N1N2_SNV2005	Organism	Cryptophyceae
N1N2_SNV2024	Organism	Diatoms
N1N2_SNV2037	Organism	Other plastid
N1N2_SNV2051	Organism	Other Cyanobacteria
N1N2_SNV2076	Organism	Diatoms
N1N2_SNV2080	Organism	Dictyochophyceae
N1N2_SNV2099	Organism	Dictyochophyceae
N1N2_SNV2128	Organism	Diatoms
N1N2_SNV2140	Organism	Rappemonad
N1N2_SNV2151	Organism	OstreococcusII
N1N2_SNV2153	Organism	ProchlorococcusHLI
N1N2_SNV2156	Organism	Prymnesiophyceae
N1N2_SNV2163	Organism	Other Cyanobacteria
N1N2_SNV2205	Organism	Diatoms
N1N2_SNV2225	Organism	Dictyochophyceae
N1N2_SNV2244	Organism	Cryptophyceae
N1N2_SNV2247	Organism	Diatoms
N1N2_SNV2261	Organism	Prymnesiophyceae
N1N2_SNV2276	Organism	Prymnesiophyceae
N1N2_SNV2277	Organism	Other plastid
N1N2_SNV2281	Organism	Diatoms
N1N2_SNV2289	Organism	Pelagophyceae
N1N2_SNV2317	Organism	Prymnesiophyceae
N1N2_SNV2326	Organism	Bolidophyceae
N1N2_SNV2327	Organism	Cryptophyceae
N1N2_SNV2376	Organism	Diatoms
N1N2_SNV2387	Organism	Dictyochophyceae
N1N2_SNV2420	Organism	Cryptophyceae
N1N2_SNV2454	Organism	Prymnesiophyceae
N1N2_SNV2459	Organism	OstreococcusII
N1N2_SNV2473	Organism	Prymnesiophyceae
N1N2_SNV2475	Organism	Micromonas
N1N2_SNV2478	Organism	Prymnesiophyceae
N1N2_SNV2485	Organism	Diatoms
N1N2_SNV2531	Organism	Diatoms
N1N2_SNV2564	Organism	Pelagophyceae
N1N2_SNV2566	Organism	Prymnesiophyceae
N1N2_SNV2586	Organism	Other plastid
N1N2_SNV2614	Organism	Diatoms
N1N2_SNV2636	Organism	Cryptophyceae
N1N2_SNV2646	Organism	ProchlorococcusHLII
N1N2_SNV2657	Organism	Other plastid
N1N2_SNV2673	Organism	Diatoms
N1N2_SNV2682	Organism	Micromonas
N1N2_SNV2716	Organism	Dictyochophyceae
N1N2_SNV2721	Organism	Diatoms
N1N2_SNV2733	Organism	Prymnesiophyceae
N1N2_SNV2734	Organism	Diatoms
N1N2_SNV2744	Organism	Diatoms
N1N2_SNV2756	Organism	Diatoms
N1N2_SNV2758	Organism	Diatoms
N1N2_SNV2778	Organism	Prymnesiophyceae
N1N2_SNV2791	Organism	Diatoms
N1N2_SNV2855	Organism	Diatoms
N1N2_SNV2861	Organism	Bathycoccus
N1N2_SNV2873	Organism	Diatoms
N1N2_SNV2876	Organism	OstreococcusII
N1N2_SNV2881	Organism	Bolidophyceae
N1N2_SNV2910	Organism	Diatoms
N1N2_SNV2914	Organism	Dictyochophyceae
N1N2_SNV2916	Organism	Diatoms
N1N2_SNV2920	Organism	Prymnesiophyceae
N1N2_SNV2928	Organism	Dictyochophyceae
N1N2_SNV2943	Organism	Pelagophyceae
N1N2_SNV2949	Organism	Bathycoccus
N1N2_SNV2959	Organism	Diatoms
N1N2_SNV2967	Organism	Micromonas
N1N2_SNV2981	Organism	Bathycoccus
N1N2_SNV2986	Organism	Prymnesiophyceae
N1N2_SNV2987	Organism	Diatoms
N1N2_SNV3015	Organism	Diatoms
N1N2_SNV3019	Organism	Micromonas
N1N2_SNV3031	Organism	Prymnesiophyceae
N1N2_SNV3060	Organism	Bolidophyceae
N1N2_SNV3077	Organism	Diatoms
N1N2_SNV3079	Organism	Prymnesiophyceae
N1N2_SNV3081	Organism	Dictyochophyceae
N1N2_SNV3101	Organism	Prymnesiophyceae
N1N2_SNV3159	Organism	Other plastid
N1N2_SNV3162	Organism	Prymnesiophyceae
N1N2_SNV3167	Organism	Diatoms
