	NAAMES2-1_S21	NAAMES2-2_S22	NAAMES2-5_S23	NAAMES2-9_S24	NAAMES2-17_S25	NAAMES2-18_S26	NAAMES2-21_S27	NAAMES2-4_S37	NAAMES2-10_S39	NAAMES2-11_S40	NAAMES2-13_S41	NAAMES2-14_S42	NAAMES2-19_S44	Taxa
other	0.019041615	0.015308854	0.047650563	0.086138782	0.046195653	0.020845094	0.014825064	0.0204537	0.06753853	0.029691664	0.041403223	0.01251422	0.011518458	others
N1N2_SNV357	0.001639344	0	0	0.05296486	0.010326087	0.00459972	0.000988338	0.000557828	0.053785227	0.026170537	0	0	0.01022908	ASV357
N1N2_SNV1700	0.002900378	0.001498769	0.011250827	0.001568909	0.005978261	0.002571662	0.006325361	0.00409074	0.001227973	0.004758279	0.011625535	0.007963595	0.002191946	Stramenopiles:Chrysophyceae
N1N2_SNV75	0.003026482	0.004068087	0.004632694	0.020358014	0.201086957	0.020803278	0.040521842	0.002417255	0.02845828	0.027217358	0.029165817	0.014031096	0.018352173	Cyanobacteria
N1N2_SNV1168	0.032030265	0.031260036	0.019192588	0.018184224	0.008152174	0.024253068	0.021941095	0.035515061	0.013661202	0.012847354	0.023047114	0.027493364	0.018781966	Stramenopiles:Dictyochophyceae
N1N2_SNV134	0.05220681	0.043892517	0.080079418	0.245222388	0.263043478	0.352756696	0.454042301	0.059129788	0.26561061	0.205938333	0.218233734	0.137466818	0.355997765	Stramenopiles:Diatoms
N1N2_SNV159	0.052332913	0.069478643	0.12177366	0.03795626	0.061956522	0.123335215	0.055939909	0.070658237	0.032848284	0.014370004	0.015704671	0.019340159	0.151158293	Prymnesiophyceae
N1N2_SNV128	0.057629256	0.056417942	0.013898081	0.05986428	0.023369565	0.037195007	0.037161494	0.041279286	0.046724381	0.043395508	0.073628391	0.093098218	0.029784674	Cryptophyceae
N1N2_SNV545	0.073013871	0.055882668	0.027134348	0.052378882	0.034782609	0.039829392	0.004546353	0.034399405	0.047154172	0.01379901	0.019579849	0.010238908	0.028882108	Stramenopiles:Pelagophyceae
N1N2_SNV193	0.076040353	0.065303501	0	0.078294237	0.158152174	0.247172218	0.000593003	0.01227222	0.063087125	0.000951656	0.002039568	0.002275313	0.227747453	Rappemonad
N1N2_SNV309	0.081462799	0.084252221	0.06088683	0.045763	0.048369565	0.016517176	0.05989326	0.102454444	0.053478234	0.102778835	0.191107485	0.197762609	0.014355095	Stramenopiles:Bolidophyceae
N1N2_SNV9	0.548675914	0.572636763	0.613500993	0.301306164	0.138586957	0.110121474	0.303221981	0.616772034	0.326425984	0.518081462	0.374464614	0.4778157	0.131000989	Prasinophyta
