	NAAMES1-9_S9	NAAMES1-10_S10	NAAMES1-11_S11	NAAMES1-12_S12	NAAMES1-13_S13	NAAMES1-17_S15	NAAMES1-18_S16	NAAMES1-19_S17	NAAMES1-20_S18	Taxa
N1N2_SNV9	0.301982122	0.216583063	0.112676056	0.06123628	0.011627907	0.148791625	0.048812492	0.081764186	0.531233999	Prasinophyta
N1N2_SNV623	0.172366887	0.115963411	0.055957366	0.026574235	0.003171247	0.030515648	0.008660281	0.013395678	0.047619048	Stramenopiles:Pelagophyceae
N1N2_SNV75	0.15915274	0.371496017	0.672249715	0.773926439	0.867864693	0.737387237	0.872851332	0.846076077	0.078084997	Cyanobacteria
N1N2_SNV309	0.079673533	0.058129242	0.022459079	0.013672251	0.002114165	0.000334113	0	0	0	Stramenopiles:Bolidophyceae
N1N2_SNV828	0.069762923	0.021245205	0.010658546	0.009243212	0.005285412	0.049114601	0.036871802	0.023631998	0.238607271	Stramenopiles:Diatoms
N1N2_SNV128	0.043528955	0.012393036	0.011800533	0.006162141	0	0.009912017	0.003411626	0.002527486	0.03328213	Cryptophyceae
N1N2_SNV194	0.034201321	0.023310711	0.009516559	0.006739842	0	0.004120726	0.001312164	0.003538481	0.017409114	Prymnesiophyceae
N1N2_SNV1700	0.020987175	0.008852169	0	0.005969574	0	0.00111371	0.000918515	0.001390118	0.012544803	Stramenopiles:Chrysophyceae
N1N2_SNV1168	0.020792849	0.00767188	0	0.003273638	0.00422833	0.000890968	0.001049731	0.002021989	0.020481311	Stramenopiles:Dictyochophyceae
other	0.096968519	0.164355267	0.104682147	0.092817254	0.105708245	0.017485243	0.026112059	0.025653987	0.020737327	others
N1N2_SNV7140	0	0	0	0.000385134	0	0	0	0	0	Rappemonad
N1N2_SNV6645	0.000582977	0	0	0	0	0.000334113	0	0	0	ASV357
