	name	Station	Sequence file	Raw Sequences	WD	Phot	Het	Chl perce	CAST	long	lat	depth	cruise	TEMP	Salinity	O2	O2sd	Leu Incorp	BACT	DOC	TDN	PO43	SiO4	NO2/NO3	NO2	NO3	N/Si	NH4	DON	POC	POC	CHLA	position	day	region	Type	statioNodef	Dens_Thresh_MLD	Mesoscale	name
NAAMES1-1_S1	S1.5m	N1	N1AllChl1.fasta	335274	194979	21824	173155	11.19300027	AT32003	-43.616743	51.033578	5	N1	13.54	35.57	5.47	0	1.42	2.54	56.8	10.5	0.38	2.57	6.39	0.16	6.23	2.486381323	0	4.1	63.5	5.3	0.288	1	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.5m
NAAMES1-2_S2	S1.25m	N1	N1AllChl2.fasta	404551	216774	21538	195236	9.935693395	AT32003	-43.616743	51.033578	25	N1	13.68	35.6	5.42	0.03	0.74	2.63	56.5	10.4	0.43	2.54	6.57	0.13	6.44	2.586614173	0.05	3.8	34.2	2.9	0.248	2	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.25m
NAAMES1-3_S3	S1.50m	N1	N1AllChl3.fasta	417604	243857	21575	222282	8.84739827	AT32003	-43.616743	51.033578	50	N1	13.64	35.59	5.42	0.01	0.84	2.76	56.1	10.6	0.39	2.59	6.63	0.13	6.5	2.55984556	0	3.9	32.6	2.7	0.272	3	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.50m
NAAMES1-4_S4	S1.75m	N1	N1AllChl4.fasta	314702	169626	14014	155612	8.261705163	AT32003	-43.616743	51.033578	75	N1	13.72	35.61	5.41	0	1.34	2.57	56.8	10.9	0.43	2.49	6.68	0.19	6.48	2.682730924	0	4.2	30.5	2.5	NA	4	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.75m
NAAMES1-5_S5	S1.100m	N1	N1AllChl5.fasta	360535	204219	19434	184785	9.516254609	AT32003	-43.616743	51.033578	100	N1	13.74	35.61	5.39	0.01	1.56	2.54	56.5	11.1	0.41	2.73	6.6	0.17	6.42	2.417582418	0	4.5	48.7	4.1	0.263	5	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.100m
NAAMES1-6_S6	S1.150m	N1	N1AllChl6.fasta	359520	183494	414	183080	0.225620456	AT32003	-43.616743	51.033578	150	N1	13.56	35.73	4.77	0.01	0.07	0.97	52.5	14.3	0.65	4.39	10.95	0.11	10.84	2.494305239	0	3.4	9.1	0.8	NA	6	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.150m
NAAMES1-7_S7	S1.200m	N1	N1AllChl7.fasta	252611	127973	381	127592	0.29771905	AT32003	-43.616743	51.033578	200	N1	12.68	35.59	4.46	0	0.07	0.93	50.1	17.7	0.83	5.9	13.78	0	13.79	2.33559322	0.01	3.9	20.2	1.7	NA	7	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.200m
NAAMES1-8_S8	S1.300m	N1	N1AllChl8.fasta	327226	160800	602	160198	0.374378109	AT32003	-43.616743	51.033578	300	N1	10.29	35.21	4.52	0.03	0.5	0.97	50.6	19.7	1.07	8.33	16.36	0.04	16.32	1.963985594	0.18	3.1	NA	NA	NA	8	1	Subtropical	Subtropical-Winter	1	125.122	anticyclone	S1.300m
NAAMES1-9_S9	S2.5m	N2	N1AllChl9.fasta	154838	97868	5419	92449	5.537049904	AT32006	-40.166934	54.100109	5	N1	5.53	34.65	6.91	0	9.63	3.83	53.6	12.6	0.55	4.36	10.11	0.21	9.9	2.318807339	0.07	NA	90.2	7.5	0.496	9	1	Subpolar	Subpolar-Winter	2	96.888	none	S2.5m
NAAMES1-10_S10	S2.25m	N2	N1AllChl10.fasta	108864	67128	3461	63667	5.155821714	AT32006	-40.166934	54.100109	25	N1	5.53	34.66	6.87	0.02	10.06	4.22	53.9	11.8	0.54	4.47	10.02	0.25	9.77	2.241610738	0	NA	51.2	4.3	0.475	10	1	Subpolar	Subpolar-Winter	2	96.888	none	S2.25m
