Phylum	Stramenopiles:Pelagophyceae	Stramenopiles:Bolidophyceae	Stramenopiles:Diatoms	Stramenopiles:Chrysophyceae	Stramenopiles:Dictyochophyceae	Cryptophyceae	Prasinophyta	Cyanobacteria	Alveolata	Prymnesiophyceae	Rappemonad	Rhodophyta	Eusiphoniidae	Unassigned	Position 
Unique_Subtr_wint	2	0	31	0	0	3	20	15	0	6	1	0	0	9	1
Unique_Subtr_spr	4	0	19	1	2	6	16	1	0	14	1	4	0	1	3
Unique_Subpol_spr	1	2	12	5	2	3	14	0	0	16	2	0	1	2	4
Unique_Subpol_wint	1	0	5	0	0	0	0	0	0	3	0	0	0	1	10
All4	5	0	5	1	1	3	8	2	0	10	0	0	0	2	5
Polar_2seasons	4	2	11	1	4	1	2	0	0	3	1	0	0	4	6
Subtropical_2seasons	7	0	29	1	3	2	13	3	0	12	0	0	0	6	2
Spring_2regions	1	0	4	2	3	2	5	0	1	7	2	0	0	2	7
Winter_2regions	1	0	4	0	0	0	1	1	0	0	0	0	1	1	11
PolWint_TropSpring	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15
PolSpr_Tropwint	0	0	3	1	1	1	1	0	0	0	0	0	0	0	14
PS_PW_TS2	0	0	2	0	1	0	1	0	1	1	0	0	0	1	13
PS_PW_TW1	1	1	4	1	2	2	2	0	1	2	0	0	0	0	9
TS_TW_PS4	0	2	3	1	2	0	5	0	0	4	0	0	0	0	8
TS_TW_PW3	2	0	1	0	1	0	3	1	0	0	0	1	0	0	12
