Label	SubpolarWinter	 SubpolarSpring	SubtropicalWinter	SubtropicalSpring	Position 
Unique_Subtr_wint	0	0	48841	0	1
Unique_Subtr_spr	0	0	0	36555	3
Unique_Subpol_spr	0	46364	0	0	4
Unique_Subpol_wint	529	0	0	0	10
All4	39173	85859	135294	581258	5
Polar_2seasons	2186	22397	0	0	6
Subtropical_2seasons	0	0	65315	84242	2
Spring_2regions	0	16195	0	15660	7
Winter_2regions	929	0	55912	0	11
PolWint_TropSpring	26	0	0	10389	15
PolSpr_Tropwint	0	2125	66	0	14
PS_PW_TS2	73	9719	0	196	13
PS_PW_TW1	1250	14638	444	0	9
TS_TW_PS4	0	22855	15019	265774	8
TS_TW_PW3	3075	0	52286	7899	12
